Competitor,Country,Date,Discipline,DOB,Perf,Progression,Venue,Wind
Joshua CHEPTEGEI,UGA,2020-10-07 00:00:00,"10,000 Metres",1996-09-12 00:00:00,26:11.00,"","Estadio de Atletismo del Turia, Valencia (ESP)",""
Jürgen SCHULT,GDR,1986-06-06 00:00:00,Discus Throw,1960-05-11 00:00:00,74.08,"",Neubrandenburg (GDR),""
Karsten WARHOLM,NOR,2021-08-03 00:00:00,400 Metres Hurdles,1996-02-28 00:00:00,45.94,"","National Stadium, Tokyo (JPN)",""
Kenya,KEN,2005-11-23 00:00:00,Road Relay,,1:57:06,"",Chiba (JPN),""
Kenya,KEN,2006-08-25 00:00:00,4x800 Metres Relay,,7:02.43,"","Boudewijnstadion, Bruxelles (BEL)",""
Kenya,KEN,2014-05-25 00:00:00,4x1500 Metres Relay,,14:22.22,"","T. Robinson Stadium, Nassau (BAH)",""
Kevin MAYER,FRA,2018-09-16 00:00:00,Decathlon,1992-02-10 00:00:00,9126,"","Stade Pierre Paul Bernard, Talence (FRA)",""
Maurizio DAMILANO,ITA,1992-10-03 00:00:00,"30,000 Metres Race Walk",1957-04-06 00:00:00,2:01:44.1h,"",Cuneo (ITA),""
Mike POWELL,USA,1991-08-30 00:00:00,Long Jump,1963-11-10 00:00:00,8.95,"","National Stadium, Tokyo (JPN)",'+0.3
Mo FARAH,GBR,2020-09-04 00:00:00,One Hour,1983-03-23 00:00:00,21330,"","Boudewijnstadion, Bruxelles (BEL)",""
Nao KAZAMI,JPN,2018-06-24 00:00:00,100 Kilometres,1983-04-09 00:00:00,6:09:14,"",Lake Saroma (JPN),""
Noah NGENY,KEN,1999-09-05 00:00:00,1000 Metres,1978-11-02 00:00:00,2:11.96,"",Rieti (ITA),""
Rhonex KIPRUTO,KEN,2020-01-12 00:00:00,10 Kilometres,1999-10-12 00:00:00,26:24,"",Valencia (ESP),""
Ryan CROUSER,USA,2021-06-18 00:00:00,Shot Put,1992-12-18 00:00:00,23.37,"","Hayward Field, Eugene, OR (USA)",""
Ryan CROUSER,USA,2023-02-18 00:00:00,Shot Put,1992-12-18 00:00:00,23.38   *(i),"","Holt Arena, Pocatello, ID (USA)",""
Saif Saaeed SHAHEEN,QAT,2004-09-03 00:00:00,3000 Metres Steeplechase,1982-10-15 00:00:00,7:53.63,"","Boudewijnstadion, Bruxelles (BEL)",""
Stephen MOKOKA,RSA,2022-03-06 00:00:00,50 Kilometres,1985-01-31 00:00:00,2:40:13,"",Gqeberha (RSA),""
United States,USA,1993-08-22 00:00:00,4x400 Metres Relay,,2:54.29,"","Gottlieb-Daimler Stadion, Stuttgart (GER)",""
United States,USA,2015-05-03 00:00:00,Distance Medley Relay,,9:15.50,"","T. Robinson Stadium, Nassau (BAH)",""
Usain BOLT,JAM,2009-08-16 00:00:00,100 Metres,1986-08-21 00:00:00,9.58,"","Olympiastadion, Berlin (GER)",'+0.9
Usain BOLT,JAM,2009-08-20 00:00:00,200 Metres,1986-08-21 00:00:00,19.19,"","Olympiastadion, Berlin (GER)",'-0.3
Wayde VAN NIEKERK,RSA,2016-08-14 00:00:00,400 Metres,1992-07-15 00:00:00,43.03,"","Estádio Olímpico, Rio de Janeiro (BRA)",""
Yohann DINIZ,FRA,2011-03-12 00:00:00,"50,000 Metres Race Walk",1978-01-01 00:00:00,3:35:27.2h,"",Reims (FRA),""
Yohann DINIZ,FRA,2014-08-15 00:00:00,50 Kilometres Race Walk,1978-01-01 00:00:00,3:32:33,"","Letzigrund, Zürich (SUI)",""
Yuriy SEDYKH,URS,1986-08-30 00:00:00,Hammer Throw,1955-06-11 00:00:00,86.74,"","Neckarstadion, Stuttgart (GER)",""
Yusuke SUZUKI,JPN,2015-03-15 00:00:00,20 Kilometres Race Walk,1988-01-02 00:00:00,1:16:36,"",Nomi (JPN),""
