Competitor,Country,Date,Discipline,DOB,Perf,Progression,Venue,Wind
Peres JEPCHIRCHIR,KEN,2020-10-17 00:00:00,Half Marathon,1993-09-27 00:00:00,1:05:16 Wo,"",Gdynia (POL),""
PR of China,CHN,1998-02-28 00:00:00,Road Relay,,2:11:41,"",Beijing (CHN),""
Senbere TEFERI,ETH,2021-09-12 00:00:00,5 Kilometres,1995-05-03 00:00:00,14:29 Wo,"",Herzogenaurach (GER),""
Sifan HASSAN,NED,2020-09-04 00:00:00,One Hour,1993-01-01 00:00:00,18930,"","Boudewijnstadion, Bruxelles (BEL)",""
Sifan HASSAN,NED,2019-07-12 00:00:00,One Mile,1993-01-01 00:00:00,4:12.33,"","Stade Louis II, Monaco (MON)",""
Soviet Union,URS,1988-10-01 00:00:00,4x400 Metres Relay,,3:15.17,"","Olympic Stadium, Jamsil, Seoul (KOR)",""
Soviet Union,URS,1984-08-05 00:00:00,4x800 Metres Relay,,7:50.17,"",Moskva (URS),""
Stefka KOSTADINOVA,BUL,1987-08-30 00:00:00,High Jump,1965-03-25 00:00:00,2.09,"","Stadio Olimpico, Roma (ITA)",""
Svetlana MASTERKOVA,RUS,1996-08-23 00:00:00,1000 Metres,1968-01-17 00:00:00,2:28.98,"",Bruxelles (BEL),""
Sydney MCLAUGHLIN,USA,2022-07-22 00:00:00,400 Metres Hurdles,1999-08-07 00:00:00,50.68,"","Hayward Field, Eugene, OR (USA)",""
Tobi AMUSAN,NGR,2022-07-24 00:00:00,100 Metres Hurdles,1997-04-23 00:00:00,12.12,"","Hayward Field, Eugene, OR (USA)",'+0.9
Tomoe ABE,JPN,2000-06-25 00:00:00,100 Kilometres,1971-08-13 00:00:00,6:33:11  Mx,"",Lake Saroma (JPN),""
United States,USA,2012-08-10 00:00:00,4x100 Metres Relay,,40.82,"","Olympic Stadium, London (GBR)",""
United States,USA,2022-04-15 00:00:00,Distance Medley Relay,,10:33.85   *(i),"","The Track at New Balance, Boston, MA (USA)",""
United States,USA,2015-05-02 00:00:00,Distance Medley Relay,,10:36.50,"","T. Robinson Stadium, Nassau (BAH)",""
United States Blue,USA,2000-04-29 00:00:00,4x200 Metres Relay,,1:27.46,"","Philadelphia, PA (USA)",""
Yalemzerf YEHUALAW,ETH,2022-02-27 00:00:00,10 Kilometres,1999-08-03 00:00:00,29:14  Mx,"",Castellón (ESP),""
Yelena ISINBAYEVA,RUS,2009-08-28 00:00:00,Pole Vault,1982-06-03 00:00:00,5.06,"","Letzigrund, Zürich (SUI)",""
Yulimar ROJAS,VEN,2022-03-20 00:00:00,Triple Jump,1995-10-21 00:00:00,15.74   (i),"","Štark Arena, Beograd (SRB)",NWI
